,航班日期,航班号,起飞时间,降落时间,机号,机型,大机型,PF工号,PF机队名称,执飞单位名称,起飞机场三字码,起飞机场四字码,降落机场三字码,降落机场四字码,降落metar报文,降落跑道,年份,降落时间_小时,机场经度,机场纬度,降落机场名称,起飞机场经度,起飞机场纬度,PF技术等级,风险等级
1359,2024-07-23,2907,2024-07-24 09:27:00,2024-07-24 11:18:00,B-2291,A321,A320,0x0,nan队,F,WUX,ZSWX,CAN,ZGGG,"例行天气报告：广州(ZGGG, CAN)机场；北京时间2024-07-24 12:00；风向不定的风3米/秒，阵风8米/秒；能见度高于10公里；多云，云底高3300英尺(990米)；气温为34℃，露点温度为26℃；修正海压为997百帕；天气没有明显变化。",20L,2024,11.0,113.299004,23.392401,Guangzhou Baiyun International Airport,120.429000854,31.4944000244,,低风险
1360,2024-07-24,2908,2024-07-24 12:37:00,2024-07-24 14:35:00,B-2291,A321,A320,0x0,nan队,F,CAN,ZGGG,WUX,ZSWX,"例行天气报告：无锡(ZSWX, WUX)机场；北京时间2024-07-24 16:00；130度的风6米/秒，风向在90度至160度间变化；能见度高于10公里；微量的云，云底高4000英尺(1200米)；气温为35℃，露点温度为25℃；修正海压为999百帕；天气没有明显变化。",21,2024,14.0,120.429000854,31.4944000244,Sunan Shuofang International Airport,113.299004,23.392401,,低风险
31426,2024-07-24,6621,2024-07-24 17:35:00,2024-07-24 18:58:00,B-6335,A320,A320,0x1000,47.0队,E,NGB,ZSNB,WUH,ZHHH,"例行天气报告：武汉(ZHHH, WUH)机场；北京时间2024-07-24 20:00；10度的风2米/秒；天空状况良好；气温为32℃，露点温度为27℃；修正海压为995百帕；天气没有明显变化。",04R,2024,18.0,114.213723,30.774798,Wuhan Tianhe International Airport,121.46199798584000,29.82670021057130,第一副驾驶,低风险
33978,2024-07-24,6445,2024-07-24 11:52:00,2024-07-24 13:09:00,B-6333,A320,A320,0x1009,94.0队,A,PVG,ZSPD,JJN,ZSQZ,"例行天气报告：泉州(ZSQZ, JJN)机场；北京时间2024-07-24 14:00；360度的风7米/秒，阵风12米/秒，风向在320度至20度间变化；能见度高于10公里；少云，云底高5000英尺(1500米)；气温为35℃，露点温度为22℃；修正海压为992百帕；天气没有明显变化。",3,2024,13.0,118.588883,24.796587,Quanzhou Jinjiang International Airport,121.805,31.1434,教员,低风险
33979,2024-07-24,6446,2024-07-24 14:43:00,2024-07-24 16:13:00,B-6333,A320,A320,0x1009,94.0队,A,JJN,ZSQZ,PVG,ZSPD,"例行天气报告：浦东(ZSPD, PVG)机场；北京时间2024-07-24 17:00；120度的风8米/秒；能见度高于10公里；多云，云底高2000英尺(600米)；气温为31℃，露点温度为27℃；修正海压为1000百帕；天气没有明显变化。",16L,2024,16.0,121.805,31.1434,Shanghai Pudong International Airport,118.588883,24.796587,教员,低风险
33980,2024-07-24,5651,2024-07-25 07:26:00,2024-07-25 09:54:00,B-6716,A320,A320,0x1009,94.0队,A,PVG,ZSPD,YNJ,ZYYJ,"例行天气报告：延吉(ZYYJ, YNJ)机场；北京时间2024-07-25 11:00；90度的风3米/秒，风向在50度至140度间变化；能见度高于10公里；多云，云底高2600英尺(780米)；气温为29℃，露点温度为21℃；修正海压为1005百帕；天气没有明显变化。",27,2024,9.0,129.451004028,42.8828010559,Yanji Chaoyangchuan Airport,121.805,31.1434,教员,低风险
33981,2024-07-25,891,2024-07-25 11:55:00,2024-07-25 13:44:00,B-6716,A320,A320,0x1009,94.0队,A,YNJ,ZYYJ,ICN,RKSI,"例行天气报告：首尔(RKSI, ICN)机场；北京时间2024-07-25 14:30；220度的风6节(4米/秒)，风向在120度至290度间变化；能见度高于10公里；微量的云，云底高3000英尺(900米)、多云，云底高19000英尺(5700米)；气温为32℃，露点温度为24℃；修正海压为1006百帕；天气没有明显变化。",16R,2024,13.0,126.450996,37.469101,Incheon International Airport,129.451004028,42.8828010559,教员,低风险
33982,2024-07-25,5050,2024-07-26 06:57:00,2024-07-26 07:51:00,B-6011,A320,A320,0x1009,94.0队,A,ICN,RKSI,YNT,ZSYT,"例行天气报告：烟台(ZSYT, YNT)机场；北京时间2024-07-26 09:00；150度的风3米/秒；能见度高于10公里；微量的云，云底高2600英尺(780米)；气温为28℃，露点温度为25℃；修正海压为1004百帕；天气没有明显变化。",23,2024,7.0,120.978124,37.659724,Yantai Penglai International Airport,126.450996,37.469101,教员,低风险
35192,2024-07-25,5451,2024-07-25 08:39:00,2024-07-25 11:07:00,B-30FF,A320-NEO,A320,0x100F,17.0队,E,NGB,ZSNB,KMG,ZPPP,"例行天气报告：昆明(ZPPP, KMG)机场；北京时间2024-07-25 12:00；360度的风3米/秒，风向在330度至60度间变化；能见度高于10公里；微量的浓积云，云底高2600英尺(780米)、少云，云底高2600英尺(780米)、多云，云底高3600英尺(1080米)；气温为24℃，露点温度为16℃；修正海压为1013百帕；天气没有明显变化。",4,2024,11.0,102.936743,25.110313,Kunming Changshui International Airport,121.46199798584000,29.82670021057130,教员,低风险
35193,2024-07-25,5456,2024-07-25 13:44:00,2024-07-25 16:18:00,B-30FF,A320-NEO,A320,0x100F,17.0队,E,KMG,ZPPP,NGB,ZSNB,"例行天气报告：宁波(ZSNB, NGB)机场；北京时间2024-07-25 17:00；120度的风8米/秒；能见度高于10公里；小阵雨；多云，云底高2000英尺(600米)、微量的浓积云，云底高2600英尺(780米)；气温为29℃，露点温度为27℃；修正海压为996百帕；天气没有明显变化。",13,2024,16.0,121.46199798584000,29.82670021057130,Ningbo Lishe International Airport,102.936743,25.110313,教员,低风险
